,Text,Date
44,@jocc_godbody24 Sir. I don’t need to identify as black because YOU SEE that I am. I am DEFENDING BW not being a Sim… https://t.co/4mrXE4BHAt,2023-05-07 06:19:40+00:00
45,"@saegerart @MasteroftheTDS As someone who fondly remembers pre Disney marvel, I will always mourn the loss of such… https://t.co/7BrgYiYUBz",2023-05-07 06:19:31+00:00
46,@ThePollLady Is this the Real Feminism ??,2023-05-07 06:19:30+00:00
47,RT @Too_mishe: Scenes when you realize that feminism is just common sense and the reason why these girls reason in such lines is because th…,2023-05-07 06:19:07+00:00
48,"Feminism causes degeneracy and Redpill perpetuates it. Islam is the solution that ends both.

To the men: Get marri… https://t.co/xIQydCfVBZ",2023-05-07 06:19:06+00:00
49,"RT @Behembaba: This is Queen Elizabeth I, who in 1562 authorized the beginning of the Transatlantic Slave Trade which in turn lead to the d…",2023-05-07 06:19:03+00:00
50,RT @zukosmadre: Liberal feminism is so draining and self-centered,2023-05-07 06:18:59+00:00
51,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:18:55+00:00
52,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 06:18:50+00:00
53,RT @aaronhoyland: “These forest fires were caused by feminism. Please respect me for I am a Very Serious Journalist.” https://t.co/s3ra5H0z…,2023-05-07 06:18:47+00:00
54,"RT @_Sassy_Nurse: “We need feminism because a man in a room full of women is ecstatic, and a woman in a room full of men is terrified.”

-U…",2023-05-07 06:18:44+00:00
55,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 06:18:42+00:00
56,RT @allclearnow1: yesterday mrs.sharma stans questioned people's character for seeing kandmata's pain. now they are praising mahima the ori…,2023-05-07 06:18:26+00:00
57,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:18:16+00:00
58,RT @tayspetsch: feminism leaving my body the moment i listen to better than revenge (taylor’s version) https://t.co/V6fHlReVHp,2023-05-07 06:18:07+00:00
59,"not js celebs only but in general, this kind of shit happens also when im discussing politics like feminism, i alwa… https://t.co/hVjytKygZx",2023-05-07 06:17:43+00:00
60,RT @ivy_xx_: it’s so distasteful debating (radical) feminism with a man. it’s like you’re trying to convince him you’re a person while he t…,2023-05-07 06:17:24+00:00
61,RT @chakravartiin: If you are such a great proponent of feminism start at home resign your posts as PMs &amp; CMs of country as MPs &amp; MLAs and…,2023-05-07 06:17:15+00:00
62,RT @JamalThaRebel: salah satu contoh feminism ni tak guna ambik contoh peperangan Ukraine &amp; Russia. men can't leave &amp; dying everyday while…,2023-05-07 06:16:23+00:00
63,"@simi_taiwo ... with one another, which suggests that these system and roles are a natural result of early civilisa… https://t.co/IMrE7PsnmW",2023-05-07 06:16:16+00:00
64,they're also not funny or charming and only grew their simp army male audience by shitting on feminism. easiest business model in the world,2023-05-07 06:16:03+00:00
65,"RT @thequeen_esther: So, Feminism= Common sense?🤭",2023-05-07 06:15:56+00:00
66,RT @tayspetsch: feminism leaving my body the moment i listen to better than revenge (taylor’s version) https://t.co/V6fHlReVHp,2023-05-07 06:15:45+00:00
67,"@ask_aubry If you're ready to stop talking about feminism, removing ""female"" out of your concept of rights, you're… https://t.co/yUvHfs6Ges",2023-05-07 06:15:36+00:00
68,RT @Too_mishe: Scenes when you realize that feminism is just common sense and the reason why these girls reason in such lines is because th…,2023-05-07 06:14:54+00:00
69,RT @TerceraVenida: @gayest_tone When you're white and your feminism isn't intersectional https://t.co/uxFVWjtrDf,2023-05-07 06:14:51+00:00
70,"@TheGenderCritic your feminism includes rape and murder? that's not feminism, that's 'the police'",2023-05-07 06:14:45+00:00
71,RT @Too_mishe: Scenes when you realize that feminism is just common sense and the reason why these girls reason in such lines is because th…,2023-05-07 06:14:39+00:00
72,RT @deanglcss: feminism leaving my body the moment i listen to for your love https://t.co/88fx5tYjzM,2023-05-07 06:14:01+00:00
73,"Feminism as an ideology is reactionary. As Marxists, it is important to challenge and call out when necessary. Such… https://t.co/QaVeETQR2f",2023-05-07 06:13:58+00:00
74,"@simi_taiwo I'm an advocate for feminism, now that being said... 'patriarchy' and the roles can't have been taught… https://t.co/D4UgdDZ5P7",2023-05-07 06:13:49+00:00
75,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:13:48+00:00
76,"RT @PeepScript: Dobby: Yeah, well it used to be all pink and tidy but then feminism happened and we all just started pissing on the floor.…",2023-05-07 06:13:19+00:00
77,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:13:11+00:00
78,@IronWolf1970 Erasing females out of feminism 🤣🤣🤣,2023-05-07 06:13:03+00:00
79,anna and dasha literally have no politics or principles other than what's trendy on twitter. one minute it's femini… https://t.co/ny4uSyJg9J,2023-05-07 06:12:57+00:00
80,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:12:02+00:00
81,Hadiza Gabon’s dad first and now her husband😭💔the men in her life deviating from what she’s campaigning against🤮🤢😭💔… https://t.co/BFNjh3DVL2,2023-05-07 06:11:59+00:00
82,"RT @FamilyMan_berl_: How to smash patriarchy 101

#Feminism https://t.co/4rBEEKntX0",2023-05-07 06:11:52+00:00
83,RT @chakravartiin: If you are such a great proponent of feminism start at home resign your posts as PMs &amp; CMs of country as MPs &amp; MLAs and…,2023-05-07 06:11:45+00:00
